Date,Period,Notable Events,Rating/10,Cry count,Cry Reasons
01-19-2021,,Flew back to school,6,2,"Anxiety over going to school, song"
01-20-2021,,"Moved into dorm, went to ER for kidney stone",1,12,"Kidney stone pain, extreme anxiety over pain/hospital/loneliness"
01-21-2021,,First classes,7,0,
01-22-2021,,,7,1,Meeting with psychiatrist
01-23-2021,,,7,0,
01-24-2021,,,8,0,
01-25-2021,,,8,0,
01-26-2021,,,7,0,
01-27-2021,,,7,0,
01-28-2021,,,7,0,
01-29-2021,,,6,0,
01-30-2021,,,5,0,
01-31-2021,,,6,0,
02-01-2021,,,6,0,
02-02-2021,,,8,0,
02-03-2021,y,,6,1,Video
02-04-2021,y,,7,0,
02-05-2021,y,,8,0,
02-06-2021,y,,8,0,
02-07-2021,y,,5,1,Stress over covid & school
02-08-2021,y,,6,0,
02-09-2021,,,7,0,
02-10-2021,,,7,0,
02-11-2021,,,5,0,
02-12-2021,,,6,0,
02-13-2021,,,7,0,
02-14-2021,,,8,0,
02-15-2021,,,4,0,
02-16-2021,,,8,0,
02-17-2021,,,5,0,
02-18-2021,,,8,0,
02-19-2021,,,9,0,
02-20-2021,,,9,0,
02-21-2021,,,6,0,
02-22-2021,,,4,0,
02-23-2021,,,8,0,
02-24-2021,,most beautiful day,10,0,
02-25-2021,,,9,0,
02-26-2021,,,9,0,
02-27-2021,,,7,0,
02-28-2021,,,6,2,Found huge hospital bill from January
03-01-2021,,,5,0,
03-02-2021,y,,7,0,
03-03-2021,y,,7,0,
03-04-2021,y,,6,0,
03-05-2021,y,,6,0,
03-06-2021,y,,7,0,
03-07-2021,y,,5,0,
03-08-2021,,,5,0,
03-09-2021,,Wellness day 1,9,1,missing lax
03-10-2021,,Wellness day 2,6,0,
03-11-2021,,,6,0,
03-12-2021,,Med dose increased,6,2,"Social stuff, school stress, general stress"
03-13-2021,,Lockdown announced,2,7,"Social stuff, school stress, general stress"
03-14-2021,,,4,2,"Social stuff, school stress, general stress"
03-15-2021,,,3,1,"Social stuff, school stress, general stress"
03-16-2021,,,6,0,
03-17-2021,,,3,4,Pip sick
03-18-2021,,COVID SHOT 1,7,0,
03-19-2021,,,7,0,
03-20-2021,,,7,0,
03-21-2021,,,6,0,
03-22-2021,,,5,0,
03-23-2021,,,6,0,
03-24-2021,,,7,0,
03-25-2021,,,9,0,
03-26-2021,,,9,0,
03-27-2021,,,5,4,Relationship trouble
03-28-2021,,,5,1,Relationship trouble
03-29-2021,y,Break up pt 1,2,6,Wandavision (2) + relationship/break up
03-30-2021,y,Break up pt 2,2,6,Break up
03-31-2021,y,,2,4,Break up
04-01-2021,y,,5,1,Break up (talked to him)
04-02-2021,y,,5,3,Break up
04-03-2021,y,,8,0,
04-04-2021,,,8,0,
04-05-2021,,,7,0,
04-06-2021,,,7,2,Break up
04-07-2021,,,8,0,
04-08-2021,,,9,0,
04-09-2021,,,8,1,Break up
04-10-2021,,,7,0,
04-11-2021,,,8,0,
04-12-2021,,,6,1,Daunte Wright/MN
04-13-2021,,,7,0,
04-14-2021,,,8,0,
04-15-2021,,COVID SHOT 2,5,1,Break up
04-16-2021,,,8,0,
04-17-2021,,,8,0,
04-18-2021,,,5,1,Break up/stress
04-19-2021,,,5,1,Stress
04-20-2021,,,1,3,Horrible first smoking experience
04-21-2021,,,4,1,Bad night before
04-22-2021,,,6,0,
04-23-2021,y,LDOC,6,0,
04-24-2021,y,,8,1,Break up/song
04-25-2021,y,,4,0,
04-26-2021,y,,6,0,
04-27-2021,y,,7,1,Break up/friend issues
04-28-2021,y,,8,1,Break up/friend issues
04-29-2021,,,8,1,Break up/friend issues
04-30-2021,,,8,3,Saying goodbye to Ryan
05-01-2021,,,7,0,
05-02-2021,,Flight home,7,2,Saying goodbye & leaving Duke
05-03-2021,,,8,0,
05-04-2021,,,6,0,
05-05-2021,,,6,0,
05-06-2021,,,5,0,
05-07-2021,,,8,1,Miss Duke friends
05-08-2021,,,6,1,Argument with parents
05-09-2021,,Mother's Day,9,0,
05-10-2021,,,8,0,
05-11-2021,,,8,0,
05-12-2021,,Beautiful day & got internship!,10,0,
05-13-2021,,,8,0,
05-14-2021,,,8,0,
05-15-2021,,,6,0,
05-16-2021,,,8,0,
05-17-2021,,,7,0,
05-18-2021,,,7,0,
05-19-2021,,,7,2,Movie & how much I love pip
05-20-2021,,,9,1,Movie
05-21-2021,y,,7,0,
05-22-2021,y,,8,0,
05-23-2021,y,,8,0,
05-24-2021,y,,9,0,
05-25-2021,y,,8,1,John's dad
05-26-2021,,,9,0,
05-27-2021,,,8,0,
05-28-2021,,,7,0,
05-29-2021,,,9,0,
05-30-2021,,,7,0,
05-31-2021,,,,,
06-01-2021,,,,,
06-02-2021,,,,,
06-03-2021,,,,,
06-04-2021,,,,,
06-05-2021,,,,,
06-06-2021,,,,,
06-07-2021,,,,,
06-08-2021,,,,,
06-09-2021,,,,,
06-10-2021,,,,,
06-11-2021,,,,,
06-12-2021,,,,,
06-13-2021,,,,,
06-14-2021,,,,,
06-15-2021,,,,,
06-16-2021,,,,,
06-17-2021,,,,,
06-18-2021,,,,,
06-19-2021,,,,,
06-20-2021,,,,,
